author,text
@afifrahman8854,"anis punya tompel di bawah mulut, itu tandanya dia punya bakat buat pidato didepan tupai"
@bellacutiepie4455,Kenapa mcnya ga mata najwa
@widyaputri1592,anis berbicara tentang etika tetapi dirinya ga menunjukkan etika yg baik HAHAHAHA🙃
@lidiasiswanti162,"Alhamdulillah saya menang kuis pilah pilih,,,😊"
@stressedhaish69420,Omon Omon... pak Prabowo lucu
@sutansn5113,"Pada debat capres ketiga anies teiak-teriak ingin perjuangkan anggota TNI-POLRI agar punya rumah, padahal 5 tahun gubernur jakarta untuk membangun rumah DP 0 saja gagal total apa lagi mau perjuangkan anggota TNI-POLRI secara perindividu tak mungkinlah rasanya"
@oracletrading3000,Prabowo capek-capek di awal ngerangkul Ganjar eh di ending diserang dua sisi
@adityaperdana1747,"Prabowo karena ngga punya gagasan nyari temen pakGanjar, dengan kata2 sepertinya guru kita sama, culas..."
@bilianputulisanto2975,"01 lucu bat seakan"" menyampaikan argumen general tp ujung""nya nyangkut ke 02 juga wkwk susah kalo punya pemimpin suka bgt sindir begitu wkwk"
@secretcheese8314,Asal gak no 1 sih 🙃
@user-xm7od9vc1n,"Saya liat"" seperti nya Anis sama Ganjar ada dendam deh sama Prabowo.. di liat dari muka nya Anis melihat Prabowo kayak GK suka gtu.. Anis provokasi rakyat demi keuntungan sendiri..  sabar pak Prabowo kita di sini ttp dukung pak Prabowo hidup prabowo Gibran 💪💪"
@AnglerVersus,Gregetan saya liat dongeng aniss🥱
@mamunbachtiar7647,Gak usah pake penonton biar debat gak ke distruck
@itasyitha1582,"Berdoa dan berharap InsyaaAllah atas izin Allah pak Anis jadi presiden 2024, aamiin Yaa Rabb.."
@brahrang1256,"Saya masih netral:
Tapi bicara soal pertahanan; capres lainnya sperti penonton bola; messi ronaldo pun digoblok2in. 
Meskipun 02 tak pandai bicara, namun kalau strategi pertahanan dan cinta negara beliau diatas mereka.

Penilaian pribadi debat capres kali ini :
Capres 1 : 2 point,
Capres 2 : 1 point,
Capres 3 : 3 point."
@indahfebri2650,Banyak in istigfar sama berdoa aja lh
@ismailchannel4041,"di awal, kenapa bukan mengungkapkan gagasan dan ide, visi misi, malah seperti bertahan dan menyangkal..OMG.."
@konten-R,"OMON OMON SAJA WKWKWKWK
SANGAT PAS HAHAHA
"
@CEMBAH,Ya..pak Prabowo...tetap NKRI...ada Rahasia negara yang TDK bisa di bahas di umum..apa mau negara kita lemah diketahui dunia... semangat Indonesia 🥰maju...
@gevinriswandi4799,"gua dukung pak anies, cuman kok ini setiap pak anies dapet giliran pak prabowo di senggol mulu??? beradu argumen lah bukan senggol senggolan!"
@konten-R,"Kemakmuran  bagi seluruh bangsa???apa iya ???
buat bangsa indonesia saja   meragukan...wkwkwk
bahas ekonomi global koq  yg dibahas singkong???
sekilas omongannya seperti intelek...tapi kalau di telaah  malah jadi konyol....ngomongnya selalu masalah dan masalah...solusinya cuma ngomong perubahan....apa yang dirubah???
apa solusinya???"
